date,description,price
2020-07-30,crude oil,39.85
2020-07-31,crude oil,40.10
2020-08-01,crude oil,
2020-08-02,crude oil,
2020-08-03,crude oil,40.83
2020-08-04,crude oil,41.67
2020-08-05,crude oil,42.25
2020-08-06,crude oil,41.93
2020-08-07,crude oil,41.16
2020-08-08,crude oil,
2020-08-09,crude oil,
2020-08-10,crude oil,41.94
2020-08-11,crude oil,41.53
2020-08-12,crude oil,42.60
2020-08-13,crude oil,42.26
2020-08-14,crude oil,42.05
2020-08-15,crude oil,
2020-08-16,crude oil,
2020-08-17,crude oil,42.89
2020-08-18,crude oil,42.89
2020-08-19,crude oil,42.91
2020-08-20,crude oil,42.62
2020-08-21,crude oil,42.32
2020-08-22,crude oil,
2020-08-23,crude oil,
2020-08-24,crude oil,42.44
2020-08-25,crude oil,43.17
2020-08-26,crude oil,43.21
2020-08-27,crude oil,42.88
2020-08-28,crude oil,42.96
2020-08-29,crude oil,
2020-08-30,crude oil,
2020-08-31,crude oil,42.61
2020-09-01,crude oil,42.76
2020-09-02,crude oil,42.76
2020-09-03,crude oil,41.39
2020-09-04,crude oil,39.69
2020-09-05,crude oil,
2020-09-06,crude oil,
2020-09-07,crude oil,
2020-09-08,crude oil,36.87
2020-09-09,crude oil,38.05
2020-09-10,crude oil,37.25
2020-09-11,crude oil,37.33
2020-09-12,crude oil,
2020-09-13,crude oil,
2020-09-14,crude oil,37.23
2020-09-15,crude oil,38.29
2020-09-16,crude oil,40.17
2020-09-17,crude oil,40.99
2020-09-18,crude oil,41.09
2020-09-19,crude oil,
2020-09-20,crude oil,
2020-09-21,crude oil,39.26
2020-09-22,crude oil,39.55
2020-09-23,crude oil,39.92
2020-09-24,crude oil,40.11
2020-09-25,crude oil,40.06
2020-09-26,crude oil,
2020-09-27,crude oil,
2020-09-28,crude oil,40.47
2020-09-29,crude oil,39.03
2020-09-30,crude oil,40.05
2020-10-01,crude oil,38.51
2020-10-02,crude oil,36.90
2020-10-03,crude oil,
2020-10-04,crude oil,
2020-10-05,crude oil,39.12
2020-10-06,crude oil,40.52
2020-10-07,crude oil,39.82
2020-10-08,crude oil,41.04
2020-10-09,crude oil,40.44
2020-10-10,crude oil,
2020-10-11,crude oil,
2020-10-12,crude oil,39.22
2020-10-13,crude oil,40.03
2020-10-14,crude oil,40.86
2020-10-15,crude oil,40.84
2020-10-16,crude oil,40.70
2020-10-17,crude oil,
2020-10-18,crude oil,
2020-10-19,crude oil,40.69
2020-10-20,crude oil,41.37
2020-10-21,crude oil,39.88
2020-10-22,crude oil,40.46
2020-10-23,crude oil,39.73
2020-10-24,crude oil,
2020-10-25,crude oil,
2020-10-26,crude oil,38.39
2020-10-27,crude oil,39.34
2020-10-28,crude oil,37.27
2020-10-29,crude oil,35.94
2020-10-30,crude oil,35.64
2020-10-31,crude oil,
2020-11-01,crude oil,
2020-11-02,crude oil,36.60
2020-11-03,crude oil,37.44
2020-11-04,crude oil,38.97
2020-11-05,crude oil,38.56
2020-11-06,crude oil,36.97
2020-11-07,crude oil,
2020-11-08,crude oil,
2020-11-09,crude oil,40.05
2020-11-10,crude oil,41.18
2020-11-11,crude oil,41.23
2020-11-12,crude oil,40.90
2020-11-13,crude oil,39.93
2020-11-14,crude oil,
2020-11-15,crude oil,
2020-11-16,crude oil,41.14
2020-11-17,crude oil,41.24
2020-11-18,crude oil,41.64
2020-11-19,crude oil,41.57
2020-11-20,crude oil,41.99
2020-11-21,crude oil,
2020-11-22,crude oil,
2020-11-23,crude oil,42.91
2020-11-24,crude oil,44.71
2020-11-25,crude oil,45.58
2020-11-26,crude oil,
2020-11-27,crude oil,
2020-11-28,crude oil,
2020-11-29,crude oil,
2020-11-30,crude oil,45.20
2020-12-01,crude oil,44.54
2020-12-02,crude oil,45.23
2020-12-03,crude oil,45.65
2020-12-04,crude oil,46.23
2020-12-05,crude oil,
2020-12-06,crude oil,
2020-12-07,crude oil,45.72
2020-12-08,crude oil,45.64
2020-12-09,crude oil,45.48
2020-12-10,crude oil,46.76
2020-12-11,crude oil,46.59
2020-12-12,crude oil,
2020-12-13,crude oil,
2020-12-14,crude oil,47.02
2020-12-15,crude oil,47.58
2020-12-16,crude oil,47.86
2020-12-17,crude oil,48.34
2020-12-18,crude oil,49.04
2020-12-19,crude oil,
2020-12-20,crude oil,
2020-12-21,crude oil,47.79
2020-12-22,crude oil,47.02
2020-12-23,crude oil,47.94
2020-12-24,crude oil,48.18
2020-12-25,crude oil,
2020-12-26,crude oil,
2020-12-27,crude oil,
2020-12-28,crude oil,47.50
2020-12-29,crude oil,47.85
2020-12-30,crude oil,48.24
2020-12-31,crude oil,48.35
2021-01-01,crude oil,
2021-01-02,crude oil,
2021-01-03,crude oil,
2021-01-04,crude oil,47.47
2021-01-05,crude oil,49.78
2021-01-06,crude oil,50.45
2021-01-07,crude oil,50.63
2021-01-08,crude oil,52.14
2021-01-09,crude oil,
2021-01-10,crude oil,
2021-01-11,crude oil,52.15
2021-01-12,crude oil,53.08
2021-01-13,crude oil,52.81
2021-01-14,crude oil,53.47
2021-01-15,crude oil,52.25
2021-01-16,crude oil,
2021-01-17,crude oil,
2021-01-18,crude oil,
2021-01-19,crude oil,52.87
2021-01-20,crude oil,53.16
2021-01-21,crude oil,53.00
2021-01-22,crude oil,52.28
2021-01-23,crude oil,
2021-01-24,crude oil,
2021-01-25,crude oil,52.78
2021-01-26,crude oil,52.61
2021-01-27,crude oil,52.81
2021-01-28,crude oil,52.26
2021-01-29,crude oil,52.16
2021-01-30,crude oil,
2021-01-31,crude oil,
2021-02-01,crude oil,53.55
2021-02-02,crude oil,54.77
2021-02-03,crude oil,55.67
2021-02-04,crude oil,56.19
2021-02-05,crude oil,56.80
2021-02-06,crude oil,
2021-02-07,crude oil,
2021-02-08,crude oil,57.95
2021-02-09,crude oil,58.34
2021-02-10,crude oil,58.69
2021-02-11,crude oil,58.22
2021-02-12,crude oil,59.50
2021-02-13,crude oil,
2021-02-14,crude oil,
2021-02-15,crude oil,
2021-02-16,crude oil,60.07
2021-02-17,crude oil,61.09
2021-02-18,crude oil,60.40
2021-02-19,crude oil,59.12
2021-02-20,crude oil,
2021-02-21,crude oil,
2021-02-22,crude oil,61.67
2021-02-23,crude oil,61.66
2021-02-24,crude oil,63.21
2021-02-25,crude oil,63.43
2021-02-26,crude oil,61.55
2021-02-27,crude oil,
2021-02-28,crude oil,
2021-03-01,crude oil,60.54
2021-03-02,crude oil,59.70
2021-03-03,crude oil,61.33
2021-03-04,crude oil,63.81
2021-03-05,crude oil,66.08
2021-03-06,crude oil,
2021-03-07,crude oil,
2021-03-08,crude oil,65.03
2021-03-09,crude oil,64.02
2021-03-10,crude oil,64.45
2021-03-11,crude oil,66.02
2021-03-12,crude oil,65.59
2021-03-13,crude oil,
2021-03-14,crude oil,
2021-03-15,crude oil,65.36
2021-03-16,crude oil,64.82
2021-03-17,crude oil,64.55
2021-03-18,crude oil,59.95
2021-03-19,crude oil,61.43
2021-03-20,crude oil,
2021-03-21,crude oil,
2021-03-22,crude oil,61.48
2021-03-23,crude oil,57.75
2021-03-24,crude oil,61.12
2021-03-25,crude oil,58.47
2021-03-26,crude oil,60.93
2021-03-27,crude oil,
2021-03-28,crude oil,
2021-03-29,crude oil,61.49
2021-03-30,crude oil,60.55
2021-03-31,crude oil,59.19
2021-04-01,crude oil,61.41
2021-04-02,crude oil,
2021-04-03,crude oil,
