date,description,price
2022-07-16,crude oil,
2022-07-17,crude oil,
2022-07-18,crude oil,104.48
2022-07-19,crude oil,106.12
2022-07-20,crude oil,104.45
2022-07-21,crude oil,98.44
2022-07-22,crude oil,97.71
2022-07-23,crude oil,
2022-07-24,crude oil,
2022-07-25,crude oil,99.83
2022-07-26,crude oil,97.74
2022-07-27,crude oil,100.03
2022-07-28,crude oil,99.11
2022-07-29,crude oil,101.31
2022-07-30,crude oil,
2022-07-31,crude oil,
2022-08-01,crude oil,96.59
2022-08-02,crude oil,97.14
2022-08-03,crude oil,93.25
2022-08-04,crude oil,91.29
2022-08-05,crude oil,91.77
2022-08-06,crude oil,
2022-08-07,crude oil,
2022-08-08,crude oil,93.52
2022-08-09,crude oil,93.18
2022-08-10,crude oil,94.68
2022-08-11,crude oil,97.02
2022-08-12,crude oil,94.86
2022-08-13,crude oil,
2022-08-14,crude oil,
2022-08-15,crude oil,92.24
2022-08-16,crude oil,89.23
2022-08-17,crude oil,90.85
2022-08-18,crude oil,93.20
2022-08-19,crude oil,93.55
2022-08-20,crude oil,
2022-08-21,crude oil,
2022-08-22,crude oil,93.42
2022-08-23,crude oil,96.46
2022-08-24,crude oil,95.52
2022-08-25,crude oil,93.33
2022-08-26,crude oil,93.63
2022-08-27,crude oil,
2022-08-28,crude oil,
2022-08-29,crude oil,97.40
2022-08-30,crude oil,92.08
2022-08-31,crude oil,90.09
2022-09-01,crude oil,87.09
2022-09-02,crude oil,87.29
2022-09-03,crude oil,
2022-09-04,crude oil,
2022-09-05,crude oil,
2022-09-06,crude oil,87.35
2022-09-07,crude oil,82.50
2022-09-08,crude oil,84.04
2022-09-09,crude oil,87.27
2022-09-10,crude oil,
2022-09-11,crude oil,
2022-09-12,crude oil,88.18
2022-09-13,crude oil,87.84
2022-09-14,crude oil,88.88
2022-09-15,crude oil,85.72
2022-09-16,crude oil,85.57
2022-09-17,crude oil,
2022-09-18,crude oil,
2022-09-19,crude oil,86.15
2022-09-20,crude oil,84.69
2022-09-21,crude oil,83.38
2022-09-22,crude oil,84.02
2022-09-23,crude oil,79.07
2022-09-24,crude oil,
2022-09-25,crude oil,
2022-09-26,crude oil,77.17
2022-09-27,crude oil,78.91
2022-09-28,crude oil,82.61
2022-09-29,crude oil,81.78
2022-09-30,crude oil,79.91
2022-10-01,crude oil,
2022-10-02,crude oil,
2022-10-03,crude oil,84.05
2022-10-04,crude oil,86.87
2022-10-05,crude oil,88.22
2022-10-06,crude oil,88.90
2022-10-07,crude oil,93.07
2022-10-08,crude oil,
2022-10-09,crude oil,
2022-10-10,crude oil,91.60
2022-10-11,crude oil,89.75
2022-10-12,crude oil,87.83
2022-10-13,crude oil,89.59
2022-10-14,crude oil,86.10
2022-10-15,crude oil,
2022-10-16,crude oil,
2022-10-17,crude oil,86.00
2022-10-18,crude oil,83.29
2022-10-19,crude oil,86.00
2022-10-20,crude oil,86.02
2022-10-21,crude oil,85.47
2022-10-22,crude oil,
2022-10-23,crude oil,
2022-10-24,crude oil,86.12
2022-10-25,crude oil,86.93
2022-10-26,crude oil,89.39
2022-10-27,crude oil,89.06
2022-10-28,crude oil,87.85
2022-10-29,crude oil,
2022-10-30,crude oil,
2022-10-31,crude oil,86.54
2022-11-01,crude oil,88.36
2022-11-02,crude oil,90.06
2022-11-03,crude oil,88.14
2022-11-04,crude oil,92.58
2022-11-05,crude oil,
2022-11-06,crude oil,
2022-11-07,crude oil,91.80
2022-11-08,crude oil,88.80
2022-11-09,crude oil,85.79
2022-11-10,crude oil,86.52
2022-11-11,crude oil,89.14
2022-11-12,crude oil,
2022-11-13,crude oil,
2022-11-14,crude oil,85.85
2022-11-15,crude oil,86.87
2022-11-16,crude oil,85.62
2022-11-17,crude oil,81.69
2022-11-18,crude oil,80.07
2022-11-19,crude oil,
2022-11-20,crude oil,
2022-11-21,crude oil,79.74
2022-11-22,crude oil,80.83
2022-11-23,crude oil,77.93
2022-11-24,crude oil,
2022-11-25,crude oil,76.45
2022-11-26,crude oil,
2022-11-27,crude oil,
2022-11-28,crude oil,77.10
2022-11-29,crude oil,77.96
2022-11-30,crude oil,80.48
2022-12-01,crude oil,81.06
2022-12-02,crude oil,79.86
2022-12-03,crude oil,
2022-12-04,crude oil,
2022-12-05,crude oil,76.83
2022-12-06,crude oil,74.21
2022-12-07,crude oil,71.93
2022-12-08,crude oil,71.30
2022-12-09,crude oil,71.05
2022-12-10,crude oil,
2022-12-11,crude oil,
2022-12-12,crude oil,72.96
2022-12-13,crude oil,75.44
2022-12-14,crude oil,77.14
2022-12-15,crude oil,75.89
2022-12-16,crude oil,74.19
2022-12-17,crude oil,
2022-12-18,crude oil,
2022-12-19,crude oil,75.05
2022-12-20,crude oil,75.92
2022-12-21,crude oil,78.17
2022-12-22,crude oil,77.68
2022-12-23,crude oil,79.57
2022-12-24,crude oil,
2022-12-25,crude oil,
2022-12-26,crude oil,
2022-12-27,crude oil,79.45
2022-12-28,crude oil,78.89
2022-12-29,crude oil,78.43
2022-12-30,crude oil,80.16
2022-12-31,crude oil,
2023-01-01,crude oil,
2023-01-02,crude oil,
2023-01-03,crude oil,76.87
2023-01-04,crude oil,72.82
2023-01-05,crude oil,73.61
2023-01-06,crude oil,73.77
2023-01-07,crude oil,
2023-01-08,crude oil,
2023-01-09,crude oil,74.69
2023-01-10,crude oil,75.11
2023-01-11,crude oil,77.46
2023-01-12,crude oil,78.32
2023-01-13,crude oil,79.90
2023-01-14,crude oil,
2023-01-15,crude oil,
2023-01-16,crude oil,
2023-01-17,crude oil,80.25
2023-01-18,crude oil,79.53
2023-01-19,crude oil,80.31
2023-01-20,crude oil,81.27
2023-01-21,crude oil,
2023-01-22,crude oil,
2023-01-23,crude oil,81.62
2023-01-24,crude oil,79.86
2023-01-25,crude oil,79.78
2023-01-26,crude oil,80.64
2023-01-27,crude oil,79.73
2023-01-28,crude oil,
2023-01-29,crude oil,
2023-01-30,crude oil,77.97
2023-01-31,crude oil,78.95
2023-02-01,crude oil,76.34
2023-02-02,crude oil,75.87
2023-02-03,crude oil,73.40
2023-02-04,crude oil,
2023-02-05,crude oil,
2023-02-06,crude oil,74.11
2023-02-07,crude oil,77.17
2023-02-08,crude oil,78.47
2023-02-09,crude oil,78.04
2023-02-10,crude oil,79.74
2023-02-11,crude oil,
2023-02-12,crude oil,
2023-02-13,crude oil,80.14
2023-02-14,crude oil,79.08
2023-02-15,crude oil,78.57
2023-02-16,crude oil,78.45
2023-02-17,crude oil,76.31
2023-02-18,crude oil,
2023-02-19,crude oil,
2023-02-20,crude oil,
2023-02-21,crude oil,76.28
2023-02-22,crude oil,73.95
2023-02-23,crude oil,75.26
2023-02-24,crude oil,76.19
2023-02-25,crude oil,
2023-02-26,crude oil,
2023-02-27,crude oil,75.57
2023-02-28,crude oil,76.88
2023-03-01,crude oil,77.57
2023-03-02,crude oil,78.05
2023-03-03,crude oil,79.62
2023-03-04,crude oil,
2023-03-05,crude oil,
2023-03-06,crude oil,80.39
2023-03-07,crude oil,77.45
2023-03-08,crude oil,76.56
2023-03-09,crude oil,75.60
2023-03-10,crude oil,76.55
2023-03-11,crude oil,
2023-03-12,crude oil,
2023-03-13,crude oil,74.68
2023-03-14,crude oil,71.18
2023-03-15,crude oil,67.38
2023-03-16,crude oil,68.15
2023-03-17,crude oil,66.61
2023-03-18,crude oil,
2023-03-19,crude oil,
2023-03-20,crude oil,67.56
2023-03-21,crude oil,69.40
2023-03-22,crude oil,70.71
2023-03-23,crude oil,69.77
2023-03-24,crude oil,69.22
2023-03-25,crude oil,
2023-03-26,crude oil,
2023-03-27,crude oil,72.87
2023-03-28,crude oil,73.12
2023-03-29,crude oil,72.95
2023-03-30,crude oil,74.32
2023-03-31,crude oil,75.68
2023-04-01,crude oil,
2023-04-02,crude oil,
2023-04-03,crude oil,80.40
2023-04-04,crude oil,80.70
2023-04-05,crude oil,80.69
2023-04-06,crude oil,80.70
2023-04-07,crude oil,
2023-04-08,crude oil,
2023-04-09,crude oil,
2023-04-10,crude oil,79.79
2023-04-11,crude oil,81.54
2023-04-12,crude oil,83.26
2023-04-13,crude oil,82.16
2023-04-14,crude oil,82.58
2023-04-15,crude oil,
2023-04-16,crude oil,
2023-04-17,crude oil,80.93
2023-04-18,crude oil,80.85
2023-04-19,crude oil,79.18
2023-04-20,crude oil,77.27
2023-04-21,crude oil,77.86
2023-04-22,crude oil,
2023-04-23,crude oil,
2023-04-24,crude oil,78.64
2023-04-25,crude oil,77.05
2023-04-26,crude oil,74.33
2023-04-27,crude oil,74.77
2023-04-28,crude oil,76.78
2023-04-29,crude oil,
2023-04-30,crude oil,
2023-05-01,crude oil,75.65
2023-05-02,crude oil,71.71
2023-05-03,crude oil,68.62
2023-05-04,crude oil,68.52
2023-05-05,crude oil,71.32
2023-05-06,crude oil,
2023-05-07,crude oil,
2023-05-08,crude oil,73.13
2023-05-09,crude oil,73.68
2023-05-10,crude oil,72.53
2023-05-11,crude oil,70.81
2023-05-12,crude oil,70.02
2023-05-13,crude oil,
2023-05-14,crude oil,
2023-05-15,crude oil,71.07
2023-05-16,crude oil,70.85
2023-05-17,crude oil,72.78
2023-05-18,crude oil,71.82
2023-05-19,crude oil,71.57
2023-05-20,crude oil,
2023-05-21,crude oil,
2023-05-22,crude oil,71.81
2023-05-23,crude oil,72.87
2023-05-24,crude oil,74.37
2023-05-25,crude oil,71.68
2023-05-26,crude oil,72.35
2023-05-27,crude oil,
2023-05-28,crude oil,
2023-05-29,crude oil,
2023-05-30,crude oil,69.45
2023-05-31,crude oil,68.11
2023-06-01,crude oil,70.09
2023-06-02,crude oil,71.76
2023-06-03,crude oil,
2023-06-04,crude oil,
2023-06-05,crude oil,72.14
2023-06-06,crude oil,71.71
2023-06-07,crude oil,72.52
2023-06-08,crude oil,71.28
2023-06-09,crude oil,70.16
2023-06-10,crude oil,
2023-06-11,crude oil,
2023-06-12,crude oil,67.08
2023-06-13,crude oil,69.39
2023-06-14,crude oil,68.22
2023-06-15,crude oil,70.61
2023-06-16,crude oil,71.81
2023-06-17,crude oil,
2023-06-18,crude oil,
2023-06-19,crude oil,
2023-06-20,crude oil,70.94
2023-06-21,crude oil,72.55
2023-06-22,crude oil,69.22
2023-06-23,crude oil,68.91
2023-06-24,crude oil,
2023-06-25,crude oil,
2023-06-26,crude oil,69.09
2023-06-27,crude oil,67.68
2023-06-28,crude oil,69.54
2023-06-29,crude oil,69.85
2023-06-30,crude oil,70.66
2023-07-01,crude oil,
2023-07-02,crude oil,
2023-07-03,crude oil,69.71
2023-07-04,crude oil,
2023-07-05,crude oil,71.78
2023-07-06,crude oil,71.76
2023-07-07,crude oil,73.91
2023-07-08,crude oil,
2023-07-09,crude oil,
2023-07-10,crude oil,73.05
2023-07-11,crude oil,74.87
2023-07-12,crude oil,75.77
2023-07-13,crude oil,76.86
2023-07-14,crude oil,75.44
2023-07-15,crude oil,
2023-07-16,crude oil,
2023-07-17,crude oil,74.17
2023-07-18,crude oil,75.76
2023-07-19,crude oil,75.40
2023-07-20,crude oil,75.65
2023-07-21,crude oil,77.06
2023-07-22,crude oil,
2023-07-23,crude oil,
2023-07-24,crude oil,78.81
2023-07-25,crude oil,79.76
2023-07-26,crude oil,79.11
2023-07-27,crude oil,80.17
2023-07-28,crude oil,80.55
2023-07-29,crude oil,
2023-07-30,crude oil,
2023-07-31,crude oil,81.80
2023-08-01,crude oil,81.37
2023-08-02,crude oil,79.50
2023-08-03,crude oil,81.56
2023-08-04,crude oil,82.76
2023-08-05,crude oil,
2023-08-06,crude oil,
2023-08-07,crude oil,81.94
2023-08-08,crude oil,82.94
2023-08-09,crude oil,84.35
2023-08-10,crude oil,82.81
2023-08-11,crude oil,83.17
2023-08-12,crude oil,
2023-08-13,crude oil,
2023-08-14,crude oil,82.50
2023-08-15,crude oil,81.06
2023-08-16,crude oil,79.40
2023-08-17,crude oil,80.43
2023-08-18,crude oil,81.25
2023-08-19,crude oil,
2023-08-20,crude oil,
2023-08-21,crude oil,80.71
2023-08-22,crude oil,80.25
2023-08-23,crude oil,78.91
2023-08-24,crude oil,79.52
2023-08-25,crude oil,80.47
2023-08-26,crude oil,
2023-08-27,crude oil,
2023-08-28,crude oil,80.65
2023-08-29,crude oil,81.14
2023-08-30,crude oil,81.64
2023-08-31,crude oil,83.55
2023-09-01,crude oil,85.52
2023-09-02,crude oil,
2023-09-03,crude oil,
2023-09-04,crude oil,
2023-09-05,crude oil,86.74
2023-09-06,crude oil,87.55
2023-09-07,crude oil,86.87
2023-09-08,crude oil,87.51
2023-09-09,crude oil,
2023-09-10,crude oil,
2023-09-11,crude oil,87.30
2023-09-12,crude oil,88.87
2023-09-13,crude oil,88.59
2023-09-14,crude oil,90.13
2023-09-15,crude oil,90.83
2023-09-16,crude oil,
2023-09-17,crude oil,
2023-09-18,crude oil,91.47
2023-09-19,crude oil,91.16
2023-09-20,crude oil,89.20
2023-09-21,crude oil,89.56
2023-09-22,crude oil,90.00
2023-09-23,crude oil,
2023-09-24,crude oil,
2023-09-25,crude oil,89.68
2023-09-26,crude oil,91.43
2023-09-27,crude oil,93.67
2023-09-28,crude oil,91.65
2023-09-29,crude oil,90.77
2023-09-30,crude oil,
2023-10-01,crude oil,
2023-10-02,crude oil,88.81
2023-10-03,crude oil,89.26
2023-10-04,crude oil,84.32
2023-10-05,crude oil,82.30
2023-10-06,crude oil,82.83
2023-10-07,crude oil,
2023-10-08,crude oil,
2023-10-09,crude oil,
2023-10-10,crude oil,85.89
2023-10-11,crude oil,83.70
2023-10-12,crude oil,82.87
2023-10-13,crude oil,87.67
2023-10-14,crude oil,
2023-10-15,crude oil,
2023-10-16,crude oil,86.65
2023-10-17,crude oil,86.66
2023-10-18,crude oil,88.35
2023-10-19,crude oil,89.35
2023-10-20,crude oil,89.12
2023-10-21,crude oil,
2023-10-22,crude oil,
2023-10-23,crude oil,85.49
2023-10-24,crude oil,84.58
2023-10-25,crude oil,86.07
2023-10-26,crude oil,83.80
2023-10-27,crude oil,86.04
2023-10-28,crude oil,
2023-10-29,crude oil,
2023-10-30,crude oil,83.03
2023-10-31,crude oil,81.64
2023-11-01,crude oil,81.05
2023-11-02,crude oil,83.04
2023-11-03,crude oil,81.19
2023-11-04,crude oil,
2023-11-05,crude oil,
2023-11-06,crude oil,81.54
2023-11-07,crude oil,77.96
2023-11-08,crude oil,75.85
2023-11-09,crude oil,76.34
2023-11-10,crude oil,
2023-11-11,crude oil,
2023-11-12,crude oil,
2023-11-13,crude oil,78.86
2023-11-14,crude oil,78.90
2023-11-15,crude oil,77.15
2023-11-16,crude oil,73.50
2023-11-17,crude oil,76.47
2023-11-18,crude oil,
2023-11-19,crude oil,
2023-11-20,crude oil,78.10
2023-11-21,crude oil,78.35
2023-11-22,crude oil,76.80
2023-11-23,crude oil,
2023-11-24,crude oil,74.83
2023-11-25,crude oil,
2023-11-26,crude oil,
2023-11-27,crude oil,74.46
2023-11-28,crude oil,76.09
2023-11-29,crude oil,77.56
2023-11-30,crude oil,75.66
2023-12-01,crude oil,73.70
2023-12-02,crude oil,
2023-12-03,crude oil,
2023-12-04,crude oil,72.73
2023-12-05,crude oil,71.95
2023-12-06,crude oil,68.98
2023-12-07,crude oil,69.00
2023-12-08,crude oil,70.87
2023-12-09,crude oil,
2023-12-10,crude oil,
2023-12-11,crude oil,70.95
2023-12-12,crude oil,68.27
2023-12-13,crude oil,69.09
2023-12-14,crude oil,71.21
2023-12-15,crude oil,71.05
2023-12-16,crude oil,
2023-12-17,crude oil,
2023-12-18,crude oil,72.16
2023-12-19,crude oil,73.23
2023-12-20,crude oil,73.87
2023-12-21,crude oil,73.59
2023-12-22,crude oil,73.29
2023-12-23,crude oil,
2023-12-24,crude oil,
2023-12-25,crude oil,
2023-12-26,crude oil,75.84
2023-12-27,crude oil,74.31
2023-12-28,crude oil,72.02
2023-12-29,crude oil,71.89
2023-12-30,crude oil,
2023-12-31,crude oil,
2024-01-01,crude oil,
2024-01-02,crude oil,70.62
2024-01-03,crude oil,72.97
2024-01-04,crude oil,72.38
2024-01-05,crude oil,74.00
2024-01-06,crude oil,
2024-01-07,crude oil,
2024-01-08,crude oil,71.06
2024-01-09,crude oil,72.43
2024-01-10,crude oil,71.57
2024-01-11,crude oil,72.15
2024-01-12,crude oil,72.94
2024-01-13,crude oil,
2024-01-14,crude oil,
2024-01-15,crude oil,
2024-01-16,crude oil,72.63
2024-01-17,crude oil,72.79
2024-01-18,crude oil,74.32
2024-01-19,crude oil,73.69
2024-01-20,crude oil,
2024-01-21,crude oil,
2024-01-22,crude oil,75.26
2024-01-23,crude oil,74.72
2024-01-24,crude oil,75.48
2024-01-25,crude oil,77.91
2024-01-26,crude oil,78.45
2024-01-27,crude oil,
2024-01-28,crude oil,
2024-01-29,crude oil,77.25
2024-01-30,crude oil,78.30
2024-01-31,crude oil,76.28
2024-02-01,crude oil,74.36
2024-02-02,crude oil,72.72
2024-02-03,crude oil,
2024-02-04,crude oil,
2024-02-05,crude oil,73.21
2024-02-06,crude oil,73.83
2024-02-07,crude oil,74.26
2024-02-08,crude oil,76.67
2024-02-09,crude oil,77.26
2024-02-10,crude oil,
2024-02-11,crude oil,
2024-02-12,crude oil,77.34
2024-02-13,crude oil,78.28
2024-02-14,crude oil,77.09
2024-02-15,crude oil,78.47
2024-02-16,crude oil,79.65
2024-02-17,crude oil,
2024-02-18,crude oil,
2024-02-19,crude oil,
2024-02-20,crude oil,78.72
2024-02-21,crude oil,78.89
2024-02-22,crude oil,79.64
2024-02-23,crude oil,77.60
2024-02-24,crude oil,
2024-02-25,crude oil,
2024-02-26,crude oil,78.53
2024-02-27,crude oil,79.80
2024-02-28,crude oil,79.44
2024-02-29,crude oil,79.22
2024-03-01,crude oil,80.90
2024-03-02,crude oil,
2024-03-03,crude oil,
2024-03-04,crude oil,79.67
2024-03-05,crude oil,79.11
2024-03-06,crude oil,80.08
2024-03-07,crude oil,79.81
2024-03-08,crude oil,78.96
2024-03-09,crude oil,
2024-03-10,crude oil,
2024-03-11,crude oil,78.87
2024-03-12,crude oil,78.51
2024-03-13,crude oil,80.67
2024-03-14,crude oil,82.16
2024-03-15,crude oil,81.94
2024-03-16,crude oil,
2024-03-17,crude oil,
2024-03-18,crude oil,83.68
2024-03-19,crude oil,84.39
2024-03-20,crude oil,82.79
2024-03-21,crude oil,81.99
2024-03-22,crude oil,81.10
2024-03-23,crude oil,
2024-03-24,crude oil,
2024-03-25,crude oil,82.41
2024-03-26,crude oil,82.41
2024-03-27,crude oil,82.15
2024-03-28,crude oil,83.96
2024-03-29,crude oil,
2024-03-30,crude oil,
2024-03-31,crude oil,
2024-04-01,crude oil,84.54
2024-04-02,crude oil,85.95
2024-04-03,crude oil,86.22
2024-04-04,crude oil,87.37
2024-04-05,crude oil,87.69
2024-04-06,crude oil,
2024-04-07,crude oil,
2024-04-08,crude oil,87.24
2024-04-09,crude oil,86.04
2024-04-10,crude oil,86.98
2024-04-11,crude oil,85.79
2024-04-12,crude oil,86.46
2024-04-13,crude oil,
2024-04-14,crude oil,
2024-04-15,crude oil,86.21
2024-04-16,crude oil,86.15
2024-04-17,crude oil,83.58
2024-04-18,crude oil,83.50
2024-04-19,crude oil,83.79
2024-04-20,crude oil,
2020-01-01,conventional gasoline,
2020-01-02,conventional gasoline,1.74
2020-01-03,conventional gasoline,1.79
2020-01-04,conventional gasoline,
2020-01-05,conventional gasoline,
2020-01-06,conventional gasoline,1.78
2020-01-07,conventional gasoline,1.76
2020-01-08,conventional gasoline,1.70
2020-01-09,conventional gasoline,1.70
2020-01-10,conventional gasoline,1.70
2020-01-11,conventional gasoline,
2020-01-12,conventional gasoline,
2020-01-13,conventional gasoline,1.70
2020-01-14,conventional gasoline,1.70
2020-01-15,conventional gasoline,1.69
2020-01-16,conventional gasoline,1.70
2020-01-17,conventional gasoline,1.69
2020-01-18,conventional gasoline,
2020-01-19,conventional gasoline,
2020-01-20,conventional gasoline,
2020-01-21,conventional gasoline,1.68
2020-01-22,conventional gasoline,1.62
2020-01-23,conventional gasoline,1.60
2020-01-24,conventional gasoline,1.56
2020-01-25,conventional gasoline,
2020-01-26,conventional gasoline,
2020-01-27,conventional gasoline,1.52
2020-01-28,conventional gasoline,1.54
2020-01-29,conventional gasoline,1.57
2020-01-30,conventional gasoline,1.56
2020-01-31,conventional gasoline,1.53
2020-02-01,conventional gasoline,
2020-02-02,conventional gasoline,
2020-02-03,conventional gasoline,1.51
2020-02-04,conventional gasoline,1.48
2020-02-05,conventional gasoline,1.53
2020-02-06,conventional gasoline,1.53
2020-02-07,conventional gasoline,1.56
2020-02-08,conventional gasoline,
2020-02-09,conventional gasoline,
2020-02-10,conventional gasoline,1.56
2020-02-11,conventional gasoline,1.55
2020-02-12,conventional gasoline,1.62
2020-02-13,conventional gasoline,1.62
2020-02-14,conventional gasoline,1.63
2020-02-15,conventional gasoline,
2020-02-16,conventional gasoline,
2020-02-17,conventional gasoline,
2020-02-18,conventional gasoline,1.65
2020-02-19,conventional gasoline,1.71
2020-02-20,conventional gasoline,1.71
2020-02-21,conventional gasoline,1.69
2020-02-22,conventional gasoline,
2020-02-23,conventional gasoline,
2020-02-24,conventional gasoline,1.65
2020-02-25,conventional gasoline,1.58
2020-02-26,conventional gasoline,1.52
2020-02-27,conventional gasoline,1.47
2020-02-28,conventional gasoline,1.46
2020-02-29,conventional gasoline,
2020-03-01,conventional gasoline,
2020-03-02,conventional gasoline,1.52
2020-03-03,conventional gasoline,1.51
2020-03-04,conventional gasoline,1.54
2020-03-05,conventional gasoline,1.50
2020-03-06,conventional gasoline,1.38
2020-03-07,conventional gasoline,
2020-03-08,conventional gasoline,
2020-03-09,conventional gasoline,1.13
2020-03-10,conventional gasoline,1.18
2020-03-11,conventional gasoline,1.09
2020-03-12,conventional gasoline,0.90
2020-03-13,conventional gasoline,0.93
2020-03-14,conventional gasoline,
2020-03-15,conventional gasoline,
2020-03-16,conventional gasoline,0.69
2020-03-17,conventional gasoline,0.71
2020-03-18,conventional gasoline,0.66
2020-03-19,conventional gasoline,0.67
2020-03-20,conventional gasoline,0.61
2020-03-21,conventional gasoline,
2020-03-22,conventional gasoline,
2020-03-23,conventional gasoline,0.45
2020-03-24,conventional gasoline,0.43
2020-03-25,conventional gasoline,0.54
2020-03-26,conventional gasoline,0.52
2020-03-27,conventional gasoline,0.55
2020-03-28,conventional gasoline,
2020-03-29,conventional gasoline,
2020-03-30,conventional gasoline,0.55
2020-03-31,conventional gasoline,0.54
2020-04-01,conventional gasoline,0.50
2020-04-02,conventional gasoline,0.51
2020-04-03,conventional gasoline,0.53
2020-04-04,conventional gasoline,
2020-04-05,conventional gasoline,
2020-04-06,conventional gasoline,0.64
2020-04-07,conventional gasoline,0.58
2020-04-08,conventional gasoline,0.64
2020-04-09,conventional gasoline,0.59
2020-04-10,conventional gasoline,
2020-04-11,conventional gasoline,
2020-04-12,conventional gasoline,
2020-04-13,conventional gasoline,0.61
2020-04-14,conventional gasoline,0.61
2020-04-15,conventional gasoline,0.60
2020-04-16,conventional gasoline,0.60
2020-04-17,conventional gasoline,0.62
2020-04-18,conventional gasoline,
2020-04-19,conventional gasoline,
2020-04-20,conventional gasoline,0.57
2020-04-21,conventional gasoline,0.47
2020-04-22,conventional gasoline,0.59
2020-04-23,conventional gasoline,0.59
2020-04-24,conventional gasoline,0.62
2020-04-25,conventional gasoline,
2020-04-26,conventional gasoline,
2020-04-27,conventional gasoline,0.60
2020-04-28,conventional gasoline,0.62
2020-04-29,conventional gasoline,0.68
2020-04-30,conventional gasoline,0.67
2020-05-01,conventional gasoline,0.69
2020-05-02,conventional gasoline,
2020-05-03,conventional gasoline,
2020-05-04,conventional gasoline,0.77
2020-05-05,conventional gasoline,0.83
2020-05-06,conventional gasoline,0.81
2020-05-07,conventional gasoline,0.84
2020-05-08,conventional gasoline,0.88
2020-05-09,conventional gasoline,
2020-05-10,conventional gasoline,
2020-05-11,conventional gasoline,0.86
2020-05-12,conventional gasoline,0.82
2020-05-13,conventional gasoline,0.75
2020-05-14,conventional gasoline,0.84
2020-05-15,conventional gasoline,0.88
2020-05-16,conventional gasoline,
2020-05-17,conventional gasoline,
2020-05-18,conventional gasoline,0.95
2020-05-19,conventional gasoline,0.96
2020-05-20,conventional gasoline,0.97
2020-05-21,conventional gasoline,0.97
2020-05-22,conventional gasoline,0.96
2020-05-23,conventional gasoline,
2020-05-24,conventional gasoline,
2020-05-25,conventional gasoline,
2020-05-26,conventional gasoline,0.97
2020-05-27,conventional gasoline,0.92
2020-05-28,conventional gasoline,0.92
2020-05-29,conventional gasoline,0.95
2020-05-30,conventional gasoline,
2020-05-31,conventional gasoline,
2020-06-01,conventional gasoline,1.00
2020-06-02,conventional gasoline,1.02
2020-06-03,conventional gasoline,1.01
2020-06-04,conventional gasoline,1.05
2020-06-05,conventional gasoline,1.13
2020-06-06,conventional gasoline,
2020-06-07,conventional gasoline,
2020-06-08,conventional gasoline,1.12
2020-06-09,conventional gasoline,1.12
2020-06-10,conventional gasoline,1.13
2020-06-11,conventional gasoline,1.03
2020-06-12,conventional gasoline,1.06
2020-06-13,conventional gasoline,
2020-06-14,conventional gasoline,
2020-06-15,conventional gasoline,1.10
2020-06-16,conventional gasoline,1.14
2020-06-17,conventional gasoline,1.15
2020-06-18,conventional gasoline,1.20
2020-06-19,conventional gasoline,1.20
2020-06-20,conventional gasoline,
2020-06-21,conventional gasoline,
2020-06-22,conventional gasoline,1.24
2020-06-23,conventional gasoline,1.26
2020-06-24,conventional gasoline,1.15
2020-06-25,conventional gasoline,1.17
2020-06-26,conventional gasoline,1.09
2020-06-27,conventional gasoline,
2020-06-28,conventional gasoline,
2020-06-29,conventional gasoline,1.15
2020-06-30,conventional gasoline,1.16
2020-07-01,conventional gasoline,1.18
2020-07-02,conventional gasoline,1.21
2020-07-03,conventional gasoline,
2020-07-04,conventional gasoline,
2020-07-05,conventional gasoline,
2020-07-06,conventional gasoline,1.21
2020-07-07,conventional gasoline,1.23
2020-07-08,conventional gasoline,1.26
2020-07-09,conventional gasoline,1.22
2020-07-10,conventional gasoline,1.24
2020-07-11,conventional gasoline,
2020-07-12,conventional gasoline,
2020-07-13,conventional gasoline,1.23
2020-07-14,conventional gasoline,1.23
2020-07-15,conventional gasoline,1.24
2020-07-16,conventional gasoline,1.21
2020-07-17,conventional gasoline,1.20
2020-07-18,conventional gasoline,
2020-07-19,conventional gasoline,
2020-07-20,conventional gasoline,1.20
2020-07-21,conventional gasoline,1.26
2020-07-22,conventional gasoline,1.26
2020-07-23,conventional gasoline,1.22
2020-07-24,conventional gasoline,1.25
2020-07-25,conventional gasoline,
2020-07-26,conventional gasoline,
2020-07-27,conventional gasoline,1.24
2020-07-28,conventional gasoline,1.23
2020-07-29,conventional gasoline,1.20
2020-07-30,conventional gasoline,1.18
2020-07-31,conventional gasoline,1.15
2020-08-01,conventional gasoline,
2020-08-02,conventional gasoline,
2020-08-03,conventional gasoline,1.17
2020-08-04,conventional gasoline,1.18
2020-08-05,conventional gasoline,1.19
2020-08-06,conventional gasoline,1.21
2020-08-07,conventional gasoline,1.18
2020-08-08,conventional gasoline,
2020-08-09,conventional gasoline,
2020-08-10,conventional gasoline,1.21
2020-08-11,conventional gasoline,1.17
2020-08-12,conventional gasoline,1.22
2020-08-13,conventional gasoline,1.22
2020-08-14,conventional gasoline,1.23
2020-08-15,conventional gasoline,
2020-08-16,conventional gasoline,
2020-08-17,conventional gasoline,1.26
2020-08-18,conventional gasoline,1.27
2020-08-19,conventional gasoline,1.28
2020-08-20,conventional gasoline,1.29
2020-08-21,conventional gasoline,1.27
2020-08-22,conventional gasoline,
2020-08-23,conventional gasoline,
2020-08-24,conventional gasoline,1.37
